,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
9466,274668365,1,0,0,10,40.0,2,8,77524.52,75981.08,-0.36671748443980334,0.0,-0.00723549500242733,1,1,1,44493.82
9467,273053327,1,0,0,6,34.0,1,5,77524.52,75981.08,-0.3589156487639899,0.0,-0.007266756746256884,1,1,1,93854.1
9468,274699972,1,0,0,-1,40.0,7,14,45290.64,64696.19,-0.3589156487639899,0.0,-0.0075637433126376444,1,1,1,44493.82
9469,271311658,1,0,0,5,30.0,8,9,77524.52,75981.08,-0.3589156487639899,0.0,-0.007266756746256884,1,1,1,44493.82
9470,271938040,3,1,1,4,53.0,3,5,77524.52,75981.08,-0.3589156487639899,0.0,-0.007266756746256884,1,1,1,44493.82
9471,274687087,2,1,0,8,65.0,5,5,77524.52,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,0,1,44493.82
9472,274410379,2,1,0,18,45.0,5,12,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9473,261690516,2,1,0,11,54.0,2,14,77524.52,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9474,273377513,2,1,0,3,38.0,2,12,45066.84,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9475,274419960,1,0,0,12,39.0,3,14,77524.52,64696.19,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9476,274838688,1,0,0,2,40.0,7,22,45290.64,75981.08,-0.3277083060607361,0.0,-0.007204233258597777,1,1,1,84298.8
9477,274965749,2,1,0,7,50.0,9,9,45290.64,64696.19,-0.3277083060607361,0.0,-0.007548112440722867,1,1,1,84298.8
9478,274046223,2,1,0,5,52.0,5,9,45290.64,75981.08,-0.3277083060607361,0.0,-0.0071886023866829995,1,1,1,84298.8
9479,274661344,1,0,0,7,41.0,2,28,106839.39,75981.08,-0.31990647038492265,0.0,-0.0071886023866829995,1,1,1,44493.82
9480,264102391,2,1,0,13,54.0,6,14,77524.52,75981.08,-0.31990647038492265,0.0,-0.0071886023866829995,1,1,1,44493.82
9481,266783905,2,0,1,12,38.5,9,12,45066.84,64696.19,-0.31990647038492265,0.0,-0.0071886023866829995,1,1,1,44493.82
9482,270774347,1,0,0,7,38.0,10,12,77524.52,75981.08,-0.31990647038492265,0.0,-0.0071886023866829995,1,1,1,84298.8
9483,274981453,3,1,0,4,58.0,4,5,45066.84,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,44493.82
9484,274896129,1,0,0,1,36.0,8,9,77524.52,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,0,1,1,84298.8
9485,274555674,1,0,0,9,35.0,4,12,45290.64,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,93854.1
9486,274942019,1,0,0,7,35.0,13,18,77524.52,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,44493.82
9487,272133455,2,1,0,5,42.0,9,9,77524.52,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,44493.82
9488,274086417,1,0,0,6,35.0,13,18,77524.52,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,0,1,1,93854.1
9489,274876611,2,1,0,23,49.0,4,12,45066.84,75981.08,-0.30430279903329577,0.0,-0.007079186283279562,1,1,1,44493.82
9490,264827497,2,1,0,5,48.0,7,9,77524.52,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,44493.82
9491,274362346,2,1,0,6,47.0,5,5,45290.64,75981.08,-0.2886991276816689,0.0,-0.007126078899023892,1,1,1,93854.1
9492,261050185,1,0,0,3,33.0,4,5,45290.64,64696.19,-0.2886991276816689,0.0,-0.007126078899023892,1,1,1,44493.82
9493,273830407,1,0,0,1,40.0,3,30,124970.37,75981.08,-0.28089729200585545,0.0,-0.007110448027109115,0,1,1,84298.8
9494,217644128,1,0,0,2,33.0,5,5,77524.52,75981.08,-0.273095456330042,0.0,-0.007094817155194338,1,1,1,84298.8
9495,274572719,2,1,0,10,64.0,4,5,112720.27,75981.08,-0.26529362065422857,0.0,-0.007079186283279562,0,1,1,44493.82
9496,274906504,1,0,0,4,38.0,4,5,77524.52,75981.08,-0.26529362065422857,0.0,-0.007079186283279562,0,1,1,44493.82
9497,165596066,2,0,1,13,48.0,4,12,45066.84,75981.08,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,44493.82
9498,274212168,2,0,1,5,45.1,5,5,45066.84,75981.08,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,44493.82
9499,268167791,1,0,0,4,39.0,4,5,77524.52,64696.19,-0.26529362065422857,0.0,-0.007860729879018404,1,1,1,44493.82
9500,274251792,1,0,0,5,37.0,9,28,106839.39,64696.19,-0.2340862779509748,0.0,-0.007016662795620454,1,1,1,84298.8
9501,274144104,1,0,0,9,34.0,4,5,77524.52,75981.08,-0.22628444227516137,0.0,-0.0070010319237056775,1,1,1,93854.1
9502,274190883,2,1,0,3,40.0,7,12,124970.37,75981.08,-0.22628444227516137,0.0,-0.0070010319237056775,1,1,1,84298.8
9503,272381647,3,0,0,3,60.0,7,12,45290.64,75981.08,-0.22628444227516137,0.0,-0.0070010319237056775,0,1,1,93854.1
9504,230130244,2,1,0,3,65.0,10,22,45290.64,64696.19,-0.2106807709235345,0.0,-0.006969770179876124,1,1,1,44493.82
